#Frame            All     All[Max]
       1      22.2653      42.6546
       2      22.2138      42.0628
       3      22.2637      41.7720
       4      22.2418      42.1716
       5      22.1425      42.1598
       6      22.1120      41.9361
       7      22.1948      41.4986
       8      22.2376      43.3298
       9      22.2173      42.7333
      10      22.0149      29.0756
      11      22.1182      29.3356
      12      22.1547      29.9469
      13      22.1142      29.6788
      14      22.1273      30.0955
      15      22.0390      30.5663
      16      22.0019      30.1242
      17      22.0222      30.3248
      18      22.0479      29.8136
      19      21.9524      29.9628
      20      21.9832      29.9386
      21      21.9653      41.8755
      22      21.8540      29.6046
      23      21.8004      29.7220
      24      21.8240      29.4293
      25      21.6459      41.4639
      26      21.7444      29.5859
      27      21.6054      41.3352
      28      21.5234      40.9881
      29      21.5700      40.8581
      30      21.5987      41.4396
      31      21.5575      41.3048
      32      21.6146      41.4390
      33      21.6922      41.7408
      34      21.5899      40.9657
      35      21.6118      28.8200
      36      21.5659      41.0859
      37      21.5664      28.8286
      38      21.3956      40.9768
      39      21.5135      41.3842
      40      21.4726      41.6646
      41      21.6148      41.6944
      42      21.6621      41.6593
      43      21.6604      42.1672
      44      21.5574      29.3080
      45      21.6865      29.6874
      46      21.7898      29.7222
      47      21.6078      42.3146
      48      21.6842      41.9967
      49      21.6482      29.4099
      50      21.5527      29.5625
      51      21.4545      28.8940
      52      21.3820      40.7089
      53      21.5701      40.5067
      54      21.6363      29.2194
      55      21.6610      28.4713
      56      21.6458      40.4699
      57      21.6466      40.5189
      58      21.6567      41.2563
      59      21.8065      40.9880
      60      21.6845      41.0112
      61      21.8676      41.0539
      62      21.9639      41.7199
      63      22.0656      29.4510
      64      21.9143      42.2536
      65      21.9794      41.9452
      66      21.8787      41.2082
      67      21.7973      41.4011
      68      21.7349      41.2303
      69      21.6689      40.2809
      70      21.7186      41.1282
      71      21.6974      40.6339
      72      21.6039      40.4052
      73      21.7076      40.5803
      74      21.8193      41.4181
      75      21.7653      41.7687
      76      21.6949      41.7837
      77      21.7379      41.1524
      78      21.7902      41.5263
      79      21.6514      40.7819
      80      21.7178      40.8406
      81      21.7568      40.9101
      82      21.5245      41.2183
      83      21.6514      40.4844
      84      21.8140      41.4233
      85      21.7985      40.9170
      86      21.7389      40.2532
      87      21.7091      28.5750
      88      21.7176      40.6373
      89      21.6925      41.0772
      90      21.4997      40.8658
      91      21.3710      39.7880
      92      21.3120      40.6548
      93      21.2082      40.2383
      94      21.2932      40.3348
      95      21.1060      39.5371
      96      21.1772      39.6478
      97      21.1990      40.9750
      98      21.2207      40.2856
      99      21.2377      40.5025
     100      21.2254      40.4152
     101      21.0624      39.5834
     102      20.9727      39.8257
     103      20.9648      39.2753
     104      20.9959      38.9201
     105      20.9543      39.3920
     106      21.0237      39.7682
     107      21.1352      39.1148
     108      21.2460      39.1062
     109      21.2285      40.3332
     110      21.2201      39.8562
     111      21.0827      40.1760
     112      21.0135      38.8854
     113      21.1054      39.9105
     114      21.0399      39.3718
     115      21.0477      40.0481
     116      21.1044      40.1459
     117      21.0761      39.7636
     118      21.1823      39.5032
     119      21.1265      40.7062
     120      20.9862      40.4102
     121      21.0346      40.3104
     122      20.9845      39.3795
     123      21.0580      27.4414
     124      20.9607      38.9992
     125      21.1529      39.8312
     126      21.2303      40.2684
     127      21.2640      40.1659
     128      21.3017      40.5092
     129      21.3247      40.0353
     130      21.2623      40.8398
     131      21.2233      39.5366
     132      21.1712      39.8354
     133      21.1699      39.5245
     134      21.1264      39.5461
     135      21.2261      39.6613
     136      21.1242      40.3203
     137      21.1662      40.6947
     138      21.1433      40.9367
     139      21.1652      40.4605
     140      21.2135      39.0345
     141      21.2864      39.6640
     142      21.1298      39.2125
     143      21.1734      39.6079
     144      21.2769      39.9766
     145      21.4172      41.3011
     146      21.4225      41.1372
     147      21.4330      40.7813
     148      21.5524      41.0256
     149      21.3034      40.6740
     150      21.3563      40.9310
     151      21.3105      41.1272
     152      21.2079      41.3213
     153      21.1657      40.8478
     154      21.1591      40.6731
     155      21.2403      40.7626
     156      21.3050      40.9545
     157      21.4380      41.2077
     158      21.2150      40.4156
     159      20.9034      40.2615
     160      21.0480      40.8244
     161      21.0787      40.9107
     162      21.1211      41.1025
     163      21.0392      42.3418
     164      20.9853      41.0487
     165      21.0389      40.7913
     166      21.1227      41.7617
     167      21.2175      41.2781
     168      21.2434      40.2467
     169      21.2763      40.3665
     170      21.4305      40.9401
     171      21.4865      41.4843
     172      21.5006      41.4716
     173      21.4446      41.3753
     174      21.5311      41.6151
     175      21.3523      40.7239
     176      21.3944      41.6097
     177      21.2325      40.7921
     178      21.1987      40.4916
     179      21.2402      40.4908
     180      21.3254      40.0976
     181      21.2672      39.5272
     182      21.0908      40.0922
     183      21.2224      40.2009
     184      21.2809      40.0660
     185      21.1935      40.2520
     186      21.4122      39.7093
     187      21.2268      40.6737
     188      21.1966      39.2179
     189      21.1537      39.5519
     190      21.0110      39.6839
     191      21.1305      40.4976
     192      21.0252      39.3372
     193      21.0014      39.5497
     194      21.1413      39.5414
     195      21.2586      40.7177
     196      21.1702      40.7945
     197      21.0755      38.9645
     198      20.8988      39.2569
     199      21.0965      40.1071
     200      21.0641      39.8938
     201      21.0785      27.9977
     202      21.0352      39.2784
     203      21.0351      28.0736
     204      20.8894      40.0597
     205      20.9076      39.3397
     206      20.8936      39.7641
     207      20.9132      40.1629
     208      21.0338      40.1258
     209      20.9814      39.0489
     210      20.9067      38.9813
     211      20.8304      38.7753
     212      21.0583      39.5942
     213      21.0168      40.2735
     214      20.8217      40.1178
     215      20.8730      39.9171
     216      20.9570      40.1648
     217      20.7725      40.8522
     218      20.7332      40.4397
     219      20.8141      40.5623
     220      20.7957      39.3773
     221      20.6948      39.2480
     222      20.6773      39.3744
     223      20.7387      39.5202
     224      20.6810      40.2650
     225      20.7556      39.7584
     226      20.7716      40.1202
     227      20.7026      39.6105
     228      20.6967      40.6061
     229      20.8099      40.4468
     230      20.6766      39.0814
     231      20.6320      39.7690
     232      20.7270      40.0399
     233      20.7180      40.0454
     234      20.7711      39.9885
     235      20.7785      40.1920
     236      20.7854      40.1300
     237      20.7524      39.4391
     238      20.7139      40.3308
     239      20.5053      39.0644
     240      20.3577      38.7661
     241      20.3520      37.1325
     242      20.3945      38.3508
     243      20.3521      37.8940
     244      20.4894      37.7300
     245      20.2615      38.1662
     246      20.4889      38.6272
     247      20.5269      38.4883
     248      20.7067      38.2600
     249      20.7629      38.0399
     250      20.5586      39.1861
     251      20.6606      38.4928
     252      20.5984      38.5079
     253      20.4310      38.5605
     254      20.4080      39.1315
     255      20.4547      38.8664
     256      20.3112      39.0929
     257      20.2555      38.7079
     258      20.2357      38.9100
     259      20.2508      38.7928
     260      20.3705      26.5966
     261      20.2564      37.7367
     262      20.2489      37.6992
     263      20.2592      26.8655
     264      20.1381      26.4474
     265      20.3188      37.8153
     266      20.1903      37.5545
     267      20.2489      26.9042
     268      20.3658      27.1936
     269      20.4643      27.4588
     270      20.3769      27.3294
     271      20.2813      26.7282
     272      20.1198      37.6761
     273      20.1373      37.5820
     274      20.1759      37.3746
     275      20.2045      38.1897
     276      20.2346      37.8326
     277      20.0681      26.7756
     278      20.0449      37.9221
     279      20.0794      37.6069
     280      20.0173      37.2416
     281      20.1723      37.0436
     282      20.0871      37.8757
     283      19.9594      26.3223
     284      20.1689      27.1423
     285      20.1416      38.5208
     286      20.2293      27.0993
     287      20.2000      27.4549
     288      20.4920      27.8329
     289      20.3915      27.7464
     290      20.2496      38.7132
     291      20.1383      27.4194
     292      20.2228      38.5403
     293      20.2228      27.3025
     294      20.1560      39.2601
     295      20.2896      40.4758
     296      20.2574      40.0553
     297      20.1858      38.6197
     298      20.3465      27.8204
     299      20.3657      39.3572
     300      20.4380      40.6322
     301      20.4330      27.8815
     302      20.4143      28.1004
     303      20.4180      39.2894
     304      20.3949      39.2607
     305      20.3954      39.1490
     306      20.4899      39.3720
     307      20.4724      39.5664
     308      20.4846      27.8214
     309      20.4957      39.3425
     310      20.2099      38.1778
     311      20.2375      39.0545
     312      20.2527      27.4301
     313      20.1743      27.4036
     314      20.4871      28.3189
     315      20.4411      28.0202
     316      20.2573      39.3277
     317      20.3736      27.5624
     318      20.4697      39.4443
     319      20.6810      39.7226
     320      20.7549      28.3862
     321      20.5797      39.2841
     322      20.6576      39.3797
     323      20.6364      39.7448
     324      20.5244      39.6889
     325      20.6395      39.5566
     326      20.6598      40.1879
     327      20.6188      28.0594
     328      20.4705      39.6773
     329      20.5856      28.1035
     330      20.6344      28.1686
     331      20.6887      40.1857
     332      20.7185      40.9937
     333      20.7072      40.1763
     334      20.9102      41.1040
     335      21.0159      41.2910
     336      20.8709      40.2731
     337      20.7682      40.6703
     338      20.6451      39.8755
     339      20.7128      40.1449
     340      20.7906      40.6986
     341      20.8255      40.9429
     342      20.9819      40.9130
     343      21.0467      40.7950
     344      21.0649      41.0648
     345      20.9739      40.7201
     346      21.1000      40.4590
     347      21.0926      41.0814
     348      21.2060      41.1958
     349      21.1835      41.7082
     350      21.1657      42.1599
     351      21.2387      41.8746
     352      21.0763      42.3021
     353      21.1419      41.1601
     354      21.3124      41.2737
     355      21.2947      29.2494
     356      21.2000      29.3156
     357      21.1961      29.2592
     358      20.9841      28.8600
     359      21.0191      29.0786
     360      21.0822      29.5638
     361      20.8853      28.8248
     362      20.9597      29.1285
     363      20.9478      29.0147
     364      20.9648      41.2066
     365      21.1127      41.7023
     366      20.9190      40.9089
     367      20.8116      40.9558
     368      20.8612      28.9871
     369      20.7640      40.8971
     370      20.7591      40.8994
     371      20.7579      41.4799
     372      20.8131      41.6306
     373      20.8451      41.1165
     374      20.8298      41.5659
     375      20.6249      28.8271
     376      20.5096      39.9614
     377      20.5839      40.3210
     378      20.5948      40.9389
     379      20.5894      40.6210
     380      20.6131      40.5098
     381      20.5128      40.6860
     382      20.5343      40.3276
     383      20.6954      40.7278
     384      20.6814      39.8580
     385      20.9063      41.0885
     386      20.8301      40.6741
     387      20.8541      41.7978
     388      20.8414      40.7599
     389      20.7024      40.5807
     390      20.7390      28.4877
     391      20.9279      28.6032
     392      20.8855      28.9737
     393      20.8963      40.0770
     394      21.1130      29.5767
     395      20.9150      28.7841
     396      20.9652      28.9459
     397      20.9581      29.2461
     398      20.8240      28.7282
     399      20.6372      28.0840
     400      20.6755      28.1409
     401      20.6582      28.2289
     402      20.6051      27.8965
     403      20.6577      39.9262
     404      20.6264      40.1767
     405      20.5791      28.0502
     406      20.4484      27.7783
     407      20.5381      28.3906
     408      20.6288      28.4869
     409      20.6872      28.2342
     410      20.6975      40.2076
     411      20.6869      40.5639
     412      20.4460      27.9098
     413      20.4578      39.9674
     414      20.5381      28.3674
     415      20.6316      28.4019
     416      20.5153      27.9480
     417      20.6612      28.3608
     418      20.5758      28.6798
     419      20.4807      28.4231
     420      20.5453      28.4406
     421      20.4846      28.3356
     422      20.5175      28.3371
     423      20.4662      28.2457
     424      20.3759      40.3797
     425      20.1843      39.1092
     426      20.1261      38.8108
     427      20.0441      39.0738
     428      19.9521      38.3676
     429      19.9115      38.5009
     430      19.9695      38.1370
     431      19.9028      40.1977
     432      19.9096      40.3658
     433      19.9115      40.9922
     434      20.2432      41.3320
     435      20.2769      41.7991
     436      20.0537      41.4789
     437      20.0759      41.1663
