#Frame            All     All[Max]
       1      21.9754      40.2229
       2      21.8318      40.8215
       3      21.7652      40.7554
       4      21.8044      40.5201
       5      21.8071      40.9478
       6      21.8357      40.5147
       7      21.5995      40.3988
       8      21.7634      40.4018
       9      21.7574      40.3821
      10      21.6535      39.7766
      11      21.6475      40.4550
      12      21.5733      40.3112
      13      21.5641      40.5786
      14      21.5325      40.0646
      15      21.5979      40.0842
      16      21.6016      41.0394
      17      21.7354      40.4759
      18      21.7877      41.0201
      19      21.7571      40.4336
      20      21.7636      42.3823
      21      21.6865      41.8250
      22      21.5749      42.5264
      23      21.5430      43.0098
      24      21.5237      42.5306
      25      21.4908      42.2481
      26      21.5638      43.1310
      27      21.4643      41.8690
      28      21.5123      42.3785
      29      21.4174      40.0332
      30      21.3699      41.4173
      31      21.3501      40.0940
      32      21.3677      40.5546
      33      21.2335      39.7807
      34      21.3288      39.9505
      35      21.3163      39.9147
      36      21.3476      38.9532
      37      21.2380      39.9634
      38      21.2380      39.4121
      39      21.1175      38.8962
      40      21.2854      38.2222
      41      21.3815      39.4194
      42      21.3880      38.5467
      43      21.4780      39.3826
      44      21.3263      38.8239
      45      21.2564      38.7682
      46      21.3054      40.0431
      47      21.3475      39.6614
      48      21.3500      40.0641
      49      21.3459      40.0852
      50      21.2127      39.9177
      51      21.2385      40.8183
      52      21.3036      41.2093
      53      21.3578      41.4212
      54      21.5133      41.9713
      55      21.3481      41.9417
      56      21.3152      41.9718
      57      21.2938      42.6675
      58      21.2233      40.7701
      59      21.2560      40.8392
      60      21.2645      39.9847
      61      21.2363      40.1770
      62      21.3144      40.5469
      63      21.3307      40.3737
      64      21.2787      40.2894
      65      21.2141      40.5232
      66      21.2766      40.3587
      67      21.2188      39.8578
      68      21.2122      39.2795
      69      21.2420      39.5494
      70      21.2907      40.0180
      71      21.4181      40.3301
      72      21.4357      40.2646
      73      21.4580      40.1173
      74      21.3548      40.3008
      75      21.3965      40.3022
      76      21.4192      39.9580
      77      21.4323      40.2730
      78      21.3841      39.3639
      79      21.3029      39.7868
      80      21.3364      39.9936
      81      21.5288      40.6595
      82      21.4914      40.8433
      83      21.5637      40.7891
      84      21.4990      40.1177
      85      21.3690      40.3818
      86      21.5625      40.3384
      87      21.4825      40.5555
      88      21.6592      40.9958
      89      21.6334      40.2189
      90      21.3902      40.6197
      91      21.3983      39.8491
      92      21.5122      39.9473
      93      21.4442      39.6181
      94      21.4203      39.9382
      95      21.2918      39.2961
      96      21.3260      39.7854
      97      21.2800      39.6401
      98      21.4767      40.1552
      99      21.4565      40.5249
     100      21.2281      40.1799
     101      21.4825      40.2480
     102      21.5392      40.1130
     103      21.5422      40.7732
     104      21.5400      40.1439
     105      21.4609      40.2714
     106      21.5866      40.1543
     107      21.5873      39.9770
     108      21.4964      40.1956
     109      21.4480      40.2195
     110      21.5537      40.0732
     111      21.6109      41.6307
     112      21.6188      40.6455
     113      21.5304      39.7263
     114      21.4926      40.6001
     115      21.6378      40.7150
     116      21.5943      40.0702
     117      21.6069      40.4609
     118      21.7248      40.5451
     119      21.8440      40.6287
     120      21.7452      40.1555
     121      21.7098      40.8395
     122      21.6314      40.1405
     123      21.6613      40.3234
     124      21.7237      41.1712
     125      21.8055      41.7539
     126      21.5893      41.3277
     127      21.6438      41.7808
     128      21.5834      40.7379
     129      21.6331      41.1879
     130      21.6172      40.3158
     131      21.7011      40.8974
     132      21.7377      41.4185
     133      21.7961      42.2292
     134      21.7970      41.5169
     135      21.8609      41.5222
     136      21.7771      41.2051
     137      21.5667      40.5681
     138      21.6419      41.4493
     139      21.7128      41.0651
     140      21.7503      41.7282
     141      21.7667      41.5490
     142      21.7310      41.2471
     143      21.9404      41.4720
     144      21.8545      42.2789
     145      21.7470      40.1132
     146      21.8923      41.9114
     147      21.7577      40.8075
     148      21.8040      40.6902
     149      21.8317      40.5156
     150      21.7579      40.6803
     151      21.6874      40.8994
     152      21.8668      41.2504
     153      21.7791      41.3775
     154      21.7275      40.8016
     155      21.7080      40.3853
     156      21.7667      39.8462
     157      21.8102      39.6800
     158      21.6945      39.9346
     159      21.6134      40.3661
     160      21.5503      39.8317
     161      21.5210      40.3589
     162      21.4867      39.8065
     163      21.4628      39.4113
     164      21.4283      40.3098
     165      21.3966      40.5260
     166      21.2715      40.0143
     167      21.2748      39.6914
     168      21.3072      40.2115
     169      21.1968      38.9430
     170      21.2547      40.2995
     171      21.2360      40.4066
     172      21.3804      39.9846
     173      21.4444      40.2105
     174      21.4011      39.7963
     175      21.2687      39.9171
     176      21.4623      40.2844
     177      21.4501      40.3864
     178      21.2783      39.9529
     179      21.2171      39.9539
     180      21.2481      39.8959
     181      21.3364      40.1562
     182      21.3706      40.0843
     183      21.3639      39.3910
     184      21.4193      39.4641
     185      21.4209      40.1736
     186      21.4490      40.3477
