#Frame            All     All[Max]
       1      25.1062      34.0939
       2      25.1336      34.2530
       3      25.1399      34.6172
       4      25.1863      34.5448
       5      25.3004      34.2296
       6      25.3505      34.6340
       7      25.3413      34.2740
       8      25.3635      34.8082
       9      25.2248      34.7955
      10      25.2911      35.5641
      11      25.2301      34.7700
      12      25.2076      34.5257
      13      25.1423      34.3729
      14      25.0852      34.6957
      15      25.1411      35.6812
      16      25.2145      34.9179
      17      25.1283      34.7449
      18      25.1963      34.8657
      19      25.1423      34.7462
      20      25.2374      34.8513
      21      25.2521      34.2736
      22      25.2216      34.4291
      23      25.2980      34.7626
      24      25.3118      34.6724
      25      25.0699      34.4329
      26      25.3640      34.6146
      27      25.3310      34.6069
      28      25.2058      34.7256
      29      25.1696      34.8361
      30      25.0555      34.3118
      31      25.0544      34.2680
      32      24.9527      33.8881
      33      24.9184      33.3497
      34      25.0216      34.0475
      35      24.9771      33.6965
      36      24.8946      34.0077
      37      24.9284      33.1988
      38      25.2101      33.9755
      39      25.1933      33.7155
      40      25.0523      33.7554
      41      25.2471      34.3721
      42      25.1730      33.9135
      43      25.2164      33.9240
      44      25.1930      34.4177
      45      25.0196      34.6503
      46      24.9872      34.1225
      47      25.0616      34.5292
      48      24.8746      34.0461
      49      24.8113      34.5760
      50      24.9998      34.8465
      51      24.8223      33.9962
      52      24.8823      33.8516
      53      24.9187      34.2744
      54      25.0141      34.1088
      55      24.9341      34.0844
      56      25.0605      34.3345
      57      25.2493      34.2427
      58      25.1580      34.8464
      59      25.2810      35.0846
      60      25.1405      35.3706
      61      25.0290      35.3728
      62      25.0564      35.8659
      63      25.0448      35.5753
      64      25.4724      36.4722
      65      25.4721      36.3206
      66      25.3891      35.4678
      67      25.4093      36.2555
      68      25.1566      35.1285
      69      25.1465      35.0603
      70      25.2042      34.8411
      71      25.3117      35.3260
      72      25.2438      34.8173
      73      25.2998      35.2882
      74      25.4880      35.9207
      75      25.2621      34.8321
      76      25.1372      34.2920
      77      25.0231      33.3662
      78      25.1574      33.8625
      79      25.1752      34.5750
      80      25.3035      34.5036
      81      25.0542      34.5244
      82      25.1614      34.2828
      83      25.1348      34.4708
      84      24.9381      34.5296
      85      25.0807      34.5831
      86      25.0400      34.8536
      87      25.1217      34.7659
      88      24.9861      34.4215
